公司,Data Field,2015/12/31,2016/12/30
2707 晶華,資產總額,"7,596,026","7,521,712"
2712 遠雄來,資產總額,"1,563,141","1,531,174"
2722 夏都,資產總額,"1,814,342","1,915,252"
2723 美食-KY,資產總額,"12,289,698","13,436,048"
2727 王品,資產總額,"9,238,878","9,297,767"
2731 雄獅,資產總額,"5,054,876","5,512,323"
2739 寒舍,資產總額,"3,071,991","3,613,278"
2748 雲品,資產總額,"1,938,192","1,893,034"
2801 彰銀,資產總額,"1,906,257,219","2,005,151,504"
2809 京城銀,資產總額,"237,553,590","244,083,962"
2812 台中銀,資產總額,"575,630,715","627,102,701"
2816 旺旺保,資產總額,"14,470,482","15,418,620"
2820 華票,資產總額,"207,582,155","203,339,091"
2823 中壽,資產總額,"1,202,621,653","1,323,711,458"
2832 台產,資產總額,"17,097,723","17,649,615"
2834 臺企銀,資產總額,"1,475,891,595","1,498,728,982"
2836 高雄銀,資產總額,"263,050,675","256,174,320"
2838 聯邦銀,資產總額,"508,489,197","532,706,570"
2841 台開,資產總額,"30,544,578","33,201,175"
2845 遠東銀,資產總額,"546,554,881","561,415,283"
2849 安泰銀,資產總額,"322,504,805","304,636,779"
2850 新產,資產總額,"28,402,590","31,330,379"
2851 中再保,資產總額,"33,265,071","33,588,232"
2852 第一保,資產總額,"14,068,329","14,976,658"
2855 統一證,資產總額,"70,089,533","86,056,196"
2867 三商壽,資產總額,"860,490,389","948,966,235"
2880 華南金,資產總額,"2,350,288,574","2,545,941,962"
2881 富邦金,資產總額,"5,987,467,814","6,351,258,272"
2882 國泰金,資產總額,"7,568,975,033","8,135,137,467"
2883 開發金,資產總額,"866,719,175","892,197,509"
2884 玉山金,資產總額,"1,775,283,931","1,884,300,190"
2885 元大金,資產總額,"1,551,145,202","2,162,245,584"
2886 兆豐金,資產總額,"3,398,518,306","3,319,791,416"
2887 台新金,資產總額,"1,520,230,642","1,576,985,727"
2888 新光金,資產總額,"2,963,070,917","3,157,672,572"
2889 國票金,資產總額,"260,180,810","256,172,581"
