證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
1446 宏和,現股當沖比重,1.72,2.97,0,0,4.04,0,0,4.09,0.87,0,0,0
1447 力鵬,月報酬率 %,7.6058,6.4136,4.7971,7.3944,-11.4753,-0.4939,-6.8239,10.7856,1.8027,-1.7707,0.601,3.1062
1447 力鵬,現股當沖比重,2.31,3.6,13.95,8.38,0.44,3.43,4.57,19.69,8.67,21.88,9.09,16.56
1449 佳和,月報酬率 %,-0.2441,0.2446,37.8048,-11.5045,6.4,-3.1954,6.7962,0,1.8181,-4.1071,-5.7728,3.5573
1449 佳和,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1451 年興,月報酬率 %,3.1712,-0.6148,1.2373,-1.0184,11.1115,-1.1111,-3.7453,0.0001,-6.8181,-1.774,4.5146,-16.3699
1451 年興,現股當沖比重,0,0,0.98,0,2.26,7.2,2.38,5.14,0,3.97,0,0
1452 宏益,月報酬率 %,15.6814,-8.889,0.488,6.7962,-1.5909,3.6953,1.1133,14.9779,-12.0964,8.4475,-2.7368,-3.2466
1452 宏益,現股當沖比重,8.66,4.65,5.34,6.29,8.39,18.24,17.06,15.39,4.8,6.4,7.72,3.82
1453 大將,月報酬率 %,-1.4798,-1.2515,0.6337,0.7558,0,-2.1249,-0.1278,5.7545,-7.2552,10.0392,-3.0805,-2.3228
1453 大將,現股當沖比重,2.78,0,0,0,0,0,0,3.77,2.63,45.43,12.68,9.62
1454 台富,月報酬率 %,0.1209,2.8984,-0.2349,1.5292,-1.9702,0.4726,-0.706,0.1185,0.723,1.7054,0.4791,1.1918
1454 台富,現股當沖比重,0,3.19,0,0,17.22,0,17.59,0.98,0,0,21.03,11.05
1455 集盛,月報酬率 %,15.3463,-0.4291,10.9913,11.1653,-10.0435,-9.7088,-4.8388,11.2995,-4.6937,-0.3298,10.0331,21.7433
1455 集盛,現股當沖比重,10.86,4.82,13.68,8.07,6.34,5.54,6.09,33.83,6.7,1.53,12.89,22.69
1456 怡華,月報酬率 %,-14.4723,-0.1175,65.294,-13.1672,2.8688,-13.1473,1.3761,-2.715,7.9069,-5.6034,-6.8493,0.9804
1456 怡華,現股當沖比重,0,0,0,12.35,15.03,13.72,17.29,0,6.18,0,0,0
1457 宜進,月報酬率 %,3,-2.4273,3.4827,6.25,-0.6702,-7.1748,1.4491,7.143,2.2838,-1.8182,-0.463,16.2794
1457 宜進,現股當沖比重,2.24,2.18,2.16,34.7,1.11,16.04,6.75,22.61,8.91,3.84,2.41,11.64
1459 聯發,月報酬率 %,0.2396,1.0753,4.0188,-1.8182,-1.6206,-8.1176,2.1768,5.5136,0.7128,-4.1275,0.3691,4.4118
1459 聯發,現股當沖比重,0,0.87,6.48,0,0.86,6.23,3.75,18.27,6.36,10.43,6.7,3.27
1460 宏遠,月報酬率 %,4.2298,-1.4495,0,1.1762,-2.6162,-1.791,-0.6078,-0.6114,-1.2306,-0.6439,0.3342,-1.6667
1460 宏遠,現股當沖比重,14.28,7.22,17.15,2.71,0.8,0,0.31,1.02,1.65,0.41,6.54,1.03
1463 強盛,月報酬率 %,7.1235,8.4399,-0.4718,4.5024,11.7914,10.7507,8.0588,-0.6781,-7.1894,6.2501,0.9802,4.2717
1463 強盛,現股當沖比重,11.64,19.91,3.29,0.81,4.61,4.99,15.73,6.2,2.53,2.49,4.09,9.03
1464 得力,月報酬率 %,1.9194,-2.6366,-0.9673,-0.9768,13.8069,-1.0398,2.6271,1.0405,-2.0477,-0.5226,-0.371,0.5896
1464 得力,現股當沖比重,8.24,1.7,6.26,2.05,4.22,10.09,17.8,8.79,4.81,0.12,1.39,0.27
1465 偉全,月報酬率 %,-1.5687,0.7968,0.3954,1.9685,0.7721,-1.1495,-1.938,1.9764,0,3.1817,27.2726,0.6209
1465 偉全,現股當沖比重,0,1.59,0,0,0,0,0,3.91,0,0,18.88,1.39
1466 聚隆,月報酬率 %,-6.6914,8.7647,1.8315,-3.5969,-11.9402,0.4238,-8.0167,10.092,1.2502,-2.4691,0.0001,1.2659
1466 聚隆,現股當沖比重,0,4.54,0,7.61,5.39,1.35,3.47,5.96,0,0,0,0
1467 南緯,月報酬率 %,-10.2362,-9.6491,3.8836,5.6074,-2.2124,-6.7874,-7.8641,7.4815,-6.6666,1.6807,8.9876,4.7391
1467 南緯,現股當沖比重,3.48,2.17,2.88,12.7,1.75,0.52,0,0,0,7.17,4.16,5.7
1468 昶和,月報酬率 %,-4.3477,-0.1012,2.1234,2.9702,1.4421,5.6872,-9.4173,4.9507,-6.132,4.02,-0.0001,-0.4831
1468 昶和,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
