證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
3118 進階,月報酬率 %,-0.4565,-3.8225,3.8158,23.8898,2.5958,-5.7829,-9.5907,4.5262,2.3004,-1.5873,-2.5536,0.6052,0.4378,-5.2326
3118 進階,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,3.11,0,3.03
3122 笙泉,月報酬率 %,-18.0297,-12.4601,8.0293,9.7973,-8.3077,6.0404,-3.4811,-0.3279,32.2369,-9.9502,-5.5248,8.4795,5.3037,-2.1391
3122 笙泉,現股當沖比重,0,0,0,0,0,0,0,0.95,4.79,1.94,3.5,23.5,5.61,5.6
3128 昇銳,月報酬率 %,-20.6705,6.338,-13.2449,0.7633,-12.4999,47.1862,-8.2353,-8.6539,-0.3508,5.6335,-2.6668,-13.6986,5.1587,-0.7548
3128 昇銳,現股當沖比重,0,0,0,0,0,0,0,0,0,3.95,0,7.69,7.4,7.31
3131 弘塑,月報酬率 %,10.9219,-8.5226,18.3233,-10.4987,4.3989,25.5615,5.8164,3.1715,0.615,-4.6842,-3.6326,-3.7695,-0.5488,-11.9804
3131 弘塑,現股當沖比重,18.54,10.27,14.42,17.67,18.29,16.77,24.2,29.62,22.08,15.6,21.04,11.69,4.87,7.34
3141 晶宏,月報酬率 %,-8.9323,-14.6342,1.7142,9.8316,-7.4168,7.9678,-1.3538,26.6666,9.5974,18.6442,9.643,18.1324,-15.2123,4.6891
3141 晶宏,現股當沖比重,0,0,0,0,0,0,0,14.16,16.26,29.14,17.82,16.57,21.95,5.45
3144 新揚科,月報酬率 %,-21.4399,-14.1177,6.8491,7.3717,-7.7611,-4.2071,-3.3783,9.7901,2.8665,-8.0494,-1.0102,-0.4176,4.3321,-4.8444
3144 新揚科,現股當沖比重,0,0,0,0,0,0,0,2.25,2.08,0,0,0,11.76,0
3147 大綜,月報酬率 %,-10.5443,6.616,-0.0484,4.5824,3.8869,9.5917,-1.9243,0,33.5443,3.3175,-5.5045,2.767,-4.1096,-5.4187
3147 大綜,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3152 璟德,月報酬率 %,-20.1907,3.7251,-1.1907,-1.9279,20.3931,-11.0205,-6.1927,-7.5794,-4.4974,-5.8172,1.4704,3.7679,-2.2346,21.1799
3152 璟德,現股當沖比重,37.37,30.68,20.93,16.4,14.52,6.46,18.8,8,14.42,3.1,13.6,16.81,7.14,13.21
3162 精確,月報酬率 %,-15.5086,-11.6006,2.9902,-1.2902,-2.1241,-6.511,-5.3572,7.1699,4.7534,-5.7143,-4.9912,7.1292,5.9544,6.2811
3162 精確,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163 波若威,月報酬率 %,-1.5754,-37.46,23.3877,12.321,-18.6223,1.8808,0.923,16.4633,18.4555,-2.5415,5.1021,-2.2652,22.5165,0.5404
3163 波若威,現股當沖比重,18.59,11.44,13.53,0,0,0,0,9.42,8.84,13.74,18.8,6.34,14.78,16.75
3169 亞信,月報酬率 %,-7.118,-11.402,11.8143,10.9433,-1.3607,3.4481,-9.4999,3.315,-1.2478,-9.0251,-2.7778,-0.8165,16.3042,-8.4427
3169 亞信,現股當沖比重,0,0,0,0,0,0,0,24.53,0,2.15,3.03,6.02,6.38,13.59
3171 新洲,月報酬率 %,-3.7688,-13.0548,1.5015,18.935,2.9852,-2.8987,-3.98,0,6.9949,-5.3269,0.5115,-1.5266,-2.8424,1.0639
3171 新洲,現股當沖比重,0,0,0,0,0,0,0,0,1.25,0,0,0,10,14.28
3176 基亞,月報酬率 %,0.4097,-15.1021,16.8267,-3.1891,4.8885,-13.3737,-9.9417,-4.6754,-3.6786,-13.7199,48.8524,-9.6915,-1.3413,-9.3941
3176 基亞,現股當沖比重,28.18,20.33,0,0,0,0,0,0,0,0,0,0,0,0
3178 公準,月報酬率 %,-9.7308,-16.6902,2.7219,-0.0001,16.75,4.3008,-18.2849,2.4752,6.0389,9.3393,-12.5001,19.0476,11.9999,43.323
3178 公準,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3188 鑫龍騰,月報酬率 %,-15.2728,-1.2874,13.0436,-3.8462,2.5001,3.9026,-10.7043,-0.1052,4.9473,-0.8024,1.6178,45.2737,13.0138,0.6059
3188 鑫龍騰,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3191 和進,月報酬率 %,-25.0001,-21.469,12.2302,11.859,-20.6303,26.3537,1.4285,1.1267,-3.3426,-19.5966,-8.2436,-1.9532,11.554,-0.0002
3191 和進,現股當沖比重,0,0,0,0,0,0,0,22.12,11.26,0,0,0,0,0
3202 樺晟,月報酬率 %,-14.568,-23.8148,19.2157,10.3619,-13.7108,4.4906,15.7026,31.4285,8.1521,12.5627,3.5714,9.4828,-6.2995,24.3698
