公司,Data Field,2015/9/30,2015/12/31,2016/3/31,2016/6/30
3033 威健,M負債比率％,0,0,0,0
3034 聯詠,M負債比率％,0,0,0,0
3035 智原,M負債比率％,0,0,0,0
3036 文曄,M負債比率％,0,0,0,0
3037 欣興,M負債比率％,0,0,0,0
3038 全台,M負債比率％,0,0,0,0
3040 遠見,M負債比率％,0,0,0,0
3041 揚智,M負債比率％,0,0,0,0
3042 晶技,M負債比率％,0,31.07,0,0
3043 科風,M負債比率％,0,0,0,0
3044 健鼎,M負債比率％,0,0,0,0
3045 台灣大,M負債比率％,0,0,0,0
3046 建,M負債比率％,0,0,0,0
3047 訊舟,M負債比率％,0,0,0,0
3048 益登,M負債比率％,0,0,0,0
3049 和鑫,M負債比率％,0,0,0,0
