公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
6219 富旺,M負債比率％,0,0,0,0,0,0,75.69,75.48
6220 岳豐,M負債比率％,0,0,0,0,0,0,69.64,67.63
6221 晉泰,M負債比率％,0,0,0,0,0,0,61.02,60.59
6222 上揚,M負債比率％,0,0,75.94,0,0,0,0,39.02
6223 旺矽,M負債比率％,0,0,0,0,0,0,50.89,51.34
6224 聚鼎,M負債比率％,29.79,0,0,0,0,0,16.09,16.06
6225 天瀚,M負債比率％,0,0,0,0,0,0,75.69,88.57
6226 光鼎,M負債比率％,0,0,0,0,0,0,51.21,49.06
6227 茂綸,M負債比率％,0,0,0,0,0,0,55.2,62.61
6228 全譜,M負債比率％,0,0,0,0,0,0,49.7,48.33
6229 研通,M負債比率％,0,0,0,0,0,0,42.96,39.15
6230 超眾,M負債比率％,0,0,0,0,0,0,44.55,41.54
6231 系微,M負債比率％,0,0,0,0,0,0,25.4,20.76
6233 旺玖,M負債比率％,0,0,0,0,0,0,11.38,8.47
6234 高僑,M負債比率％,0,0,0,0,0,0,20.35,18.88
6235 華孚,M負債比率％,0,0,0,0,0,0,0,45.32
6236 康呈,M負債比率％,0,0,0,0,0,0,48.35,41.64
6237 驊訊,M負債比率％,0,0,0,0,0,0,7.14,7.38
6238 勝麗,M負債比率％,0,0,0,0,0,0,54.39,51.4
6239 力成,M負債比率％,0,0,0,0,0,0,50.15,49.11
6240 松崗,M負債比率％,0,0,0,0,0,0,68.1,62.98
6241 易通展,M負債比率％,0,0,0,0,0,0,16.58,16.05
6242 立康,M負債比率％,0,0,0,0,0,0,25.23,23.51
6243 迅杰,M負債比率％,0,0,0,0,0,0,28.89,29.84
6244 茂迪,M負債比率％,0,0,0,0,0,0,62.48,61.56
6245 立端,M負債比率％,0,0,0,0,0,0,43.7,37.13
6246 臺龍,M負債比率％,0,0,0,0,0,0,61.14,61.88
6247 淇譽電,M負債比率％,0,0,0,0,0,0,37.06,46.62
6248 沛波,M負債比率％,0,0,52.22,0,0,0,50.32,49.53
6251 定穎,M負債比率％,0,0,0,0,0,0,0,68.65
6257 矽格,M負債比率％,0,0,0,0,0,0,44.67,39.22
6259 百徽,M負債比率％,0,0,0,0,0,0,48.17,47.6
6261 久元,M負債比率％,0,0,0,0,0,0,21.5,20.74
6263 普萊德,M負債比率％,0,0,0,0,0,0,17.3,17.25
6264 富裔,M負債比率％,0,0,0,0,0,0,58.78,56.76
6265 方土昶,M負債比率％,0,0,0,0,0,0,28.19,18.39
6266 泰詠,M負債比率％,0,0,0,0,0,0,33.44,29.15
6269 台郡,M負債比率％,0,0,0,0,0,0,0,29.72
6270 倍微,M負債比率％,0,0,0,0,0,0,27.59,29.9
6271 同欣電,M負債比率％,0,0,0,0,0,0,0,14.66
6274 台燿,M負債比率％,0,0,0,0,0,0,44.09,44.56
6275 元山,M負債比率％,0,0,0,0,0,0,55.03,0
6276 安鈦克,M負債比率％,0,0,0,0,0,0,41.68,42.91
6277 宏正,M負債比率％,0,0,0,0,0,0,37.52,34.62
6278 台表科,M負債比率％,0,0,0,0,0,0,57.88,56.54
6279 胡連,M負債比率％,0,0,0,0,0,0,34.88,31.67
6281 全國電,M負債比率％,0,0,0,0,0,0,0,54.05
6282 康舒,M負債比率％,0,0,0,0,0,0,47.37,46.62
6283 淳安,M負債比率％,0,0,0,0,0,0,11.8,14.66
6284 佳邦,M負債比率％,0,0,0,0,0,0,54.46,54.79
6285 啟,M負債比率％,0,0,0,0,0,0,0,52.08
6287 元隆,M負債比率％,0,0,76.44,0,0,0,84.31,81.61
6288 聯嘉,M負債比率％,0,0,0,0,0,0,53.36,54.51
6289 華上,M負債比率％,0,0,0,0,0,0,87.07,90.8
6290 良維,M負債比率％,0,0,0,0,0,0,39.51,38.07
6291 沛亨,M負債比率％,0,0,0,0,0,0,94.24,94.11
6292 迅德,M負債比率％,0,0,0,0,0,0,42.65,40.53
6294 智基,M負債比率％,0,0,0,0,0,0,51.24,47.99
6404 通訊-KY,M負債比率％,0,0,0,0,0,0,13.24,18.04
6405 悅城,M負債比率％,0,0,0,0,0,0,33.06,31.7
6409 旭隼,M負債比率％,0,0,0,0,0,0,0,40.23
6411 晶焱,M負債比率％,0,0,0,0,0,0,30.68,29.64
6412 群電,M負債比率％,0,0,0,0,0,0,63.02,62.47
6414 樺漢,M負債比率％,0,0,0,0,0,0,59.41,58.89
6415 矽力-KY,M負債比率％,0,0,24.32,0,0,0,12.58,12.04
6416 瑞祺電通,M負債比率％,0,0,0,0,0,0,45.14,37.34
6417 韋僑,M負債比率％,0,0,0,0,0,0,35.05,32.25
6418 詠昇,M負債比率％,0,0,0,0,0,0,43.28,39.25
6419 京晨科,M負債比率％,0,0,0,0,0,0,16.13,13.24
6425 易發,M負債比率％,0,0,0,0,0,0,53.99,53.79
6426 統新,M負債比率％,0,0,0,0,0,0,25.68,23.52
6431 光麗-KY,M負債比率％,0,0,0,0,0,0,10.58,10.43
6432 今展科,M負債比率％,0,0,0,0,0,0,51.56,53.26
6435 大中,M負債比率％,0,0,0,0,0,0,37.18,37.95
6438 迅得,M負債比率％,0,0,0,0,0,0,58.76,56.33
6441 廣錠,M負債比率％,0,0,0,0,0,0,21.07,17.07
6442 光聖,M負債比率％,0,0,0,0,0,0,30.95,31.93
6443 元晶,M負債比率％,0,0,0,0,0,0,57.99,0
6446 藥華藥,M負債比率％,0,0,0,0,0,0,5.77,5.54
6449 鈺邦,M負債比率％,0,0,0,0,0,0,49.31,45
6451 訊芯-KY,M負債比率％,0,0,0,0,0,0,38.34,40.92
6452 康友-KY,M負債比率％,0,0,0,0,0,0,18.38,17.01
6456 GIS-KY,M負債比率％,0,0,0,0,0,0,64.3,56.39
6457 紘康,M負債比率％,0,0,0,0,0,0,18.94,14.99
6461 益得,M負債比率％,0,0,0,0,0,0,39.57,36.49
6462 神盾,M負債比率％,0,0,0,0,0,0,37.59,36.86
