證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
3266 昇陽,現股當沖比重,0,14.52,4,0,8.89,0,4.54,4.53,1.45,4.88,11.44,0,32.47,10.78,51.22,2.38,3.23,70.83,1.3,0.39,10,0,10.66,0,5.88
3296 勝德,月報酬率 %,-8.6957,-8.3333,13.9524,0.3829,3.817,-0.0002,-2.9409,-6.8181,1.6259,12.4,35.2316,2.3684,3.5992,-10.6699,3.6111,11.2602,1.8357,-1.5075,-9.4388,-4.7888,-7.3965,0.0001,-5.7509,-3.3898,-1.7544
3296 勝德,現股當沖比重,39.74,3.45,16.52,4.72,18.02,0,18.31,6.12,5.87,11.77,3,0,0.81,0,17.78,4.15,21.14,7.14,28.19,2.4,6.41,18.18,17.24,4.72,22.27
3305 昇貿,月報酬率 %,-11.6327,0.9237,2.5174,14.7092,21.6326,-1.0067,2.3727,-4.6359,10.5903,1.7269,3.8581,-1.9315,-5.4545,-2.4039,5.2701,-2.8619,-7.799,-2.2556,3.2692,-0.186,-1.6792,1.7079,-3.7315,-1.744,-3.3532
3305 昇貿,現股當沖比重,0.9,0.71,14.63,0.51,2.29,0.97,4.59,2.09,11.55,19.66,10.16,0,0,5.29,0.44,0.59,0,0,4.87,0,0,7.32,11.1,0,0
3308 聯德,月報酬率 %,-3.6835,-0.2832,0.8522,23.3805,-5.9362,-7.0389,7.3106,-12.1655,7.6176,4.5045,3.6946,-7.1258,-1.4067,-4.0208,2.0271,-4.1061,9.6685,2.519,-3.4398,6.8704,0.4763,12.7961,-4.7268,1.7639,-12.5678
3308 聯德,現股當沖比重,0,0,0,1.25,0.76,23.44,7.95,0,0,6.59,47.62,0,8.77,0,6.25,2.6,3.79,9.52,0,46.1,12.07,13.06,7.96,8.66,15.79
3311 閎暉,月報酬率 %,-5.8824,-3.4377,-2.5892,6.9766,7.78,-2.0895,-4.573,-4.7923,1.3424,8.6093,11.2806,-11.2329,-2.4692,-3.7976,14.8026,10.6017,5.4406,-1.4743,-2.2443,-3.8265,-0.7957,-2.4064,-8.7672,-1.2011,3.3437
3311 閎暉,現股當沖比重,1.27,7.4,1.44,1.5,0,0,0,7.74,2.87,3.81,3.06,0.38,3.59,0,17.37,21.88,9.75,41,6.57,36.6,11.67,4.25,7.17,13.43,8.93
3312 弘憶股,月報酬率 %,-2.8897,1.0204,19.1918,-6.9209,22.7614,-5.9333,-8.0158,6.1431,-2.2878,0.9641,0.955,-1.8919,-0.2755,0.4144,-2.063,-0.9834,-15.8865,2.867,14.0982,-6.1785,5.8192,0.579,-5.8994,0,-1.9537
3312 弘憶股,現股當沖比重,0,0,8.45,1.51,10.95,6.14,7.34,4.27,0,5.96,0,4.34,1.98,13.62,3.29,19.19,0,0,0,0,0,0,0,0,84.61
3321 同泰,月報酬率 %,-9.9998,-10.7143,-5.444,-10.9695,1.4325,-3.3899,-5.5555,-17.9567,7.1697,0.352,9.4736,-9.2949,-3.8869,-13.2355,20.3388,16.1972,3.0305,-10.5882,-3.6183,-6.8258,33.6997,3.0136,-15.9575,1.5823,-11.2149
3321 同泰,現股當沖比重,0,0,1.47,13.89,0,0,0,0,9.33,0,34.37,1.01,0,0,40.63,23.48,5.56,0,3,0,32.97,73.75,4.43,9.09,5.41
3338 泰碩,月報酬率 %,-6.8967,-7.4074,1.5558,8.9381,39.1863,-1.6923,-2.9733,0.645,8.0127,-6.2314,1.4241,5.9281,-3.9765,-7.6686,4.4849,-1.0018,-8.6207,1.6982,16.8831,-7.1426,-0.1709,-7.0206,-7.9189,-7.7999,-11.9305
3338 泰碩,現股當沖比重,3.67,5.98,0,4.04,19.24,3.35,4.43,15.28,13.83,2.66,1.77,7.92,1.51,1.28,1.57,8.61,11.37,7.69,13.99,5.8,23.56,18.82,1.19,1.75,14.58
3346 麗清,月報酬率 %,-4.8301,13.255,15.0373,13.0392,-2.307,10.8454,6.5477,-2.4998,104.9999,31.3823,11.6334,40.7979,-18.8978,-1.9418,-15.4455,-6.6747,-1.6313,8.0521,-5.3987,-6.6149,-2.6388,3.5662,-6.0607,2.7861,-10.4137
