公司,Data Field,2013/12/31
3089 元炬,負債比率,30.31
3090 日電貿,負債比率,53.67
3092 鴻碩,負債比率,53.12
3093 港建,負債比率,24.62
3094 聯傑,負債比率,5.35
3095 及成,負債比率,81.69
3105 穩懋,負債比率,29.46
3114 好德,負債比率,41.41
3115 寶島極,負債比率,39.99
3118 進階,負債比率,25.78
3122 笙泉,負債比率,23.19
3128 昇銳,負債比率,24.55
3130 一零四,負債比率,36.03
3131 弘塑,負債比率,42.61
3141 晶宏,負債比率,15.58
3144 新揚科,負債比率,49.87
3147 大綜,負債比率,60.71
3149 正達,負債比率,49.31
3152 璟德,負債比率,7.07
3162 精確,負債比率,50.03
3163 波若威,負債比率,33.42
3164 景岳,負債比率,39.05
3167 大量,負債比率,54.06
3169 亞信,負債比率,10.05
3171 新洲,負債比率,41.19
3176 基亞,負債比率,6.89
3178 公準,負債比率,76.32
3188 鑫龍騰,負債比率,14.56
3189 景碩,負債比率,27.77
3191 和進,負債比率,20.69
3202 樺晟,負債比率,64.67
3205 佰研,負債比率,37.58
3206 志豐,負債比率,33.12
3207 耀勝,負債比率,46.83
3209 全科,負債比率,71.75
3211 順達,負債比率,59.69
3213 茂訊,負債比率,26.3
3217 優群,負債比率,34.64
3218 大學光,負債比率,19.54
3219 倚強股份,負債比率,26.16
3221 台嘉碩,負債比率,28.08
3224 三顧,負債比率,61.9
3226 至寶電,負債比率,15.79
3227 原相,負債比率,15.43
3228 金麗科,負債比率,15.49
3229 晟鈦,負債比率,22.68
3230 錦明,負債比率,44.2
3231 緯創,負債比率,75.53
3232 昱捷,負債比率,39.51
3234 光環,負債比率,30.62
3236 千如,負債比率,42.37
3252 海灣,負債比率,62.44
3257 虹冠電,負債比率,11.17
3259 鑫創,負債比率,12.41
3260 威剛,負債比率,50.87
3264 欣銓,負債比率,33.94
3265 台星科,負債比率,5.99
3266 昇陽,負債比率,48.5
3268 海德威,負債比率,77.6
3272 東碩,負債比率,64.81
3276 宇環,負債比率,51.36
3284 太普高,負債比率,43.64
3285 微端,負債比率,24.28
3287 廣寰科,負債比率,21.39
3288 點晶,負債比率,42.71
3289 宜特,負債比率,43.59
3290 東浦,負債比率,56.94
3293 鈊象,負債比率,13.82
3294 英濟,負債比率,47.62
3296 勝德,負債比率,28.06
3297 杭特,負債比率,20.02
3303 岱稜,負債比率,48.19
3305 昇貿,負債比率,36.62
3306 鼎天,負債比率,19.57
3308 聯德,負債比率,62.82
3310 佳穎,負債比率,50.7
3311 閎暉,負債比率,38.02
3312 弘憶股,負債比率,69.06
3313 斐成,負債比率,40.65
3317 尼克森,負債比率,34.3
3321 同泰,負債比率,68.06
3322 建舜電,負債比率,48.5
3323 加百裕,負債比率,40.53
3324 雙鴻,負債比率,62.81
3325 旭品,負債比率,29.98
3332 幸康,負債比率,16.45
3338 泰碩,負債比率,52.71
3339 泰谷,負債比率,45.97
3346 麗清,負債比率,61.64
3354 律勝,負債比率,13.06
3356 奇偶,負債比率,17.24
3360 尚立,負債比率,85.19
